name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
Neelux led bulb 12watts,NLB12S,code128,Hardware Materials,HW001,U002,U002,U002,80,150,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red and black flex,RABF,code128,Hardware Materials,HW001,U002,U002,U002,2,20,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCA jack pins,RCAJP,code128,Hardware Materials,HW001,U002,U002,U002,10,20,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mic phone jacks mono,MPJSM,code128,Hardware Materials,HW001,U002,U002,U002,18,50,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCA jack plastic,RCAJSP,code128,Hardware Materials,HW001,U002,U002,U002,18,50,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCA jack audio,RCAJA,code128,Hardware Materials,HW001,U002,U002,U002,18,50,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-connector big,FCB,code128,Hardware Materials,HW001,U002,U002,U002,8,40,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-jack pin,LJP,code128,Hardware Materials,HW001,U002,U002,U002,18,50,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC jack plastic,DCJP,code128,Hardware Materials,HW001,U002,U002,U002,10,20,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hooks,HOOKS,code128,Hardware Materials,HW001,U002,U002,U002,30,50,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mic jack sterio,MICJS,code128,Hardware Materials,HW001,U002,U002,U002,18,50,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 by 1 Jack mic,2BY1JM,code128,Hardware Materials,HW001,U002,U002,U002,18,50,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel nail 1 inch,SN1I,code128,Hardware Materials,HW001,U002,U002,U002,1,5,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel nail 2 inch,SNA3,code128,Hardware Materials,HW001,U002,U002,U002,2,10,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steel nail 2,1/2 inches",SNA32,code128,Hardware Materials,HW001,U002,U002,U002,2,10,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel nail 3 inches,SN3I,code128,Hardware Materials,HW001,U002,U002,U002,2,10,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel nail 4 inches,SN4I,code128,Hardware Materials,HW001,U002,U002,U002,2,10,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ft fitting led,2FL,code128,Hardware Materials,HW001,U002,U002,U002,120,250,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snake light multicolour wide,SLMW,code128,Hardware Materials,HW001,U002,U002,U002,116,300,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULB INFRARED 250W E27 TRONIC SP 1250,BI250W,code128,TRONIC,HW001,U002,U002,U002,336,450,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORCELAIN HOLDER E27 ESTIA EST PLHO,PHES,code128,TRONIC,HW001,U002,U002,U002,45,150,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL DOOR BD 1801,BELDOR,code128,TRONIC,HW001,U002,U002,U002,431,650,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL DOOR BD 1803,BELDB,code128,TRONIC,HW001,U002,U002,U002,431,650,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL DOOR BD 1806,BD1806,code128,TRONIC,HW001,U002,U002,U002,422,600,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL DOOR BD 1804,BD1804,code128,TRONIC,HW001,U002,U002,U002,422,600,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL DOOR BD 1807,BD1807,code128,TRONIC,HW001,U002,U002,U002,422,600,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL DOOR BD 1808,BD1808,code128,TRONIC,HW001,U002,U002,U002,448,950,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL DOOR ELECTRONIC BD 1816,BD1816,code128,TRONIC,HW001,U002,U002,U002,810,3000,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL DOOR WIRED 220-240V 2TONES BD 3605-BK,BD220,code128,TRONIC,HW001,U002,U002,U002,1142,4000,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL DOOR WIRED 220-240V 2TONES WH BD 3605-WH,BD220W,code128,TRONIC,HW001,U002,U002,U002,1142,4000,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULB LED TRONIC FILAMENT 4W B22 G45 GREEN LE 0422-FI-GR,BTF4V,code128,TRONIC,HW001,U002,U002,U002,121,200,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 1G 2W SLIM SWITCH TRK 5112,T1GSLS,code128,TRONIC,HW001,U002,U002,U002,68,200,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 2G 2W SLIM SWITCH TRK 5122,T1GSLS,code128,TRONIC,HW001,U002,U002,U002,109,300,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 3G 2W SLIM SWITCH TRK 5132,T1GSLSA,code128,TRONIC,HW001,U002,U002,U002,147,350,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 4G 2W SWITCH 3X3 TRK 5307,T1GSLSLA,code128,TRONIC,HW001,U002,U002,U002,234,450,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC SLIM COOKER CONTROL UNIT WITH 13AMPS,T1GSALE,code128,TRONIC,HW001,U002,U002,U002,616,1200,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 45A CONNECTION PLATE TRK 5221,T1GSLS1,code128,TRONIC,HW001,U002,U002,U002,302,550,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 6G 2W SLIM SWITCH TRK 5162,T1GSLS2,code128,TRONIC,HW001,U002,U002,U002,293,1200,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 1X 13A SLIM SINGLE SWITCH SOCKET TRK 5113,T1GSLS3,code128,TRONIC,HW001,U002,U002,U002,147,250,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 2X 13A SLIM TWIN SWITCH SOCKET TRK 5213,T1GSLS4,code128,TRONIC,HW001,U002,U002,U002,214,450,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 20A SLIM DP SWITCH WITH NEON TRK 5120NE,T1GSLS5,code128,TRONIC,HW001,U002,U002,U002,196,350,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 45A SLIM DP SWITCH TRK 5145NEW,T1GSLS6,code128,TRONIC,HW001,U002,U002,U002,309,600,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC BATTEN HOLDER STRAIGHT B22 TRK 0633,T1GSLS7,code128,TRONIC,HW001,U002,U002,U002,66,150,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 9 HOLDER PENDANT SET COMPLETE WITH CEILING,T1GSLS8,code128,TRONIC,HW001,U002,U002,U002,144,250,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC BATTEN HOLDER ANGLE E27 TRK 0626,T1GSLS9,code128,TRONIC,HW001,U002,U002,U002,99,200,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC BATTEN HOLDER ANGLE B22 TRK 0637,T1GSLS10,code128,TRONIC,HW001,U002,U002,U002,72,150,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 1G NEW SLIM INTERMIDIATE SWITCH TRK 5118,T1GSLS11,code128,TRONIC,HW001,U002,U002,U002,156,250,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULB LED TRONIC 5W B22 DL LE 0522-DL,BLT5W,code128,TRONIC,HW001,U002,U002,U002,66,100,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
